cluster,WeightClass,GEO_CHR,BMI,ORRECIPEDESC,count
4,Obese Class II,Vest,35.2,cafea neindulcita,4
4,Obese Class III,Centru,42.4,paine,6
4,Obese Class III,Centru,40.1,paine,5
4,Obese Class III,Sud-Vest Oltenia,41.1,paine,4
4,Obese Class III,Centru,42.4,rachiu,3
4,Obese Class III,Nord-Vest,42.8,paine,3
4,Overweight,Centru,25.8,paine,31
4,Overweight,Nord-Est,25.4,paine,30
4,Overweight,Centru,27.4,paine,27
4,Overweight,Sud-Vest Oltenia,25.4,paine,26
4,Overweight,Nord-Est,29.1,paine,23
4,Underweight,Centru,18.0,paine,10
4,Underweight,Sud-Muntenia,15.6,paine integrala,10
4,Underweight,Vest,17.7,paine,10
4,Underweight,Sud-Vest Oltenia,16.3,paine,9
4,Underweight,Sud-Muntenia,16.8,paine,8
